pk_tiempo,vch_centro,SEDE,RFFProcesado,RFFProcesadoPropios,RFFProcesadoTerceros,CPOObtenido,CPOObtenidoPropios,CPOObtenidoTerceros,FECHA,PLANTACION
20190312,3002,PW,762.92,671.2,91.72,192.0,171.66297,20.33703,2019-03-12,Palmawasi
20190312,3006,NH,243.45,26.76,216.69,62.86,10.37499,52.48501,2019-03-12,Nuevo Horizonte
20190312,3702,SH,652.5,638.39,14.11,157.523,155.77774,1.74526,2019-03-12,Shanuzi
20190313,3002,PW,884.43,743.87,140.56,224.0,200.27347,23.72653,2019-03-13,Palmawasi
20190313,3006,NH,153.28,0.0,153.28,35.5,5.85925,29.64075,2019-03-13,Nuevo Horizonte
20190313,3702,SH,937.4,909.09,28.31,230.99,228.43077,2.55923,2019-03-13,Shanuzi
20190314,3002,PW,1174.17,1048.8,125.37,292.0,261.07077,30.92923,2019-03-14,Palmawasi
20190314,3006,NH,242.45,31.55,210.9,56.53,9.33023,47.19977,2019-03-14,Nuevo Horizonte
20190314,3702,SH,1051.85,1021.57,30.28,266.056,263.10826,2.94774,2019-03-14,Shanuzi
20190315,3002,PW,1060.58,940.14,120.44,267.0,238.71882,28.28118,2019-03-15,Palmawasi
20190315,3006,NH,182.585,65.45,117.135,45.16,7.45362,37.70638,2019-03-15,Nuevo Horizonte
20190315,3702,SH,1067.0,1053.98,13.02,270.209,267.21525,2.99375,2019-03-15,Shanuzi
20190316,3002,PW,997.52,918.52,79.0,257.0,229.77804,27.22196,2019-03-16,Palmawasi
20190316,3006,NH,265.2,33.81,231.39,61.61,10.16868,51.44132,2019-03-16,Nuevo Horizonte
20190316,3702,SH,930.0,914.18,15.82,226.01,223.50595,2.50405,2019-03-16,Shanuzi
20190317,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-17,Palmawasi
20190317,3702,SH,357.7,357.46,0.24,88.701,87.71825,0.98275,2019-03-17,Shanuzi
20190318,3002,PW,630.6,574.54,56.06,155.0,138.58209,16.41791,2019-03-18,Palmawasi
20190318,3006,NH,148.78,2.84,145.94,38.39,6.33624,32.05376,2019-03-18,Nuevo Horizonte
20190318,3702,SH,291.45,281.9,9.55,71.675,70.88089,0.79411,2019-03-18,Shanuzi
20190319,3002,PW,894.01,814.14,79.87,226.0,202.06163,23.93837,2019-03-19,Palmawasi
20190319,3006,NH,170.33,0.0,170.33,45.94,7.58236,38.35764,2019-03-19,Nuevo Horizonte
20190319,3702,SH,907.2,900.5,6.7,225.448,222.95017,2.49783,2019-03-19,Shanuzi
20190320,3002,PW,948.17,875.25,72.92,243.0,217.26095,25.73905,2019-03-20,Palmawasi
20190320,3006,NH,192.12,65.02,127.1,45.51,7.51139,37.99861,2019-03-20,Nuevo Horizonte
20190320,3702,SH,1123.65,1114.51,9.14,279.206,276.11257,3.09343,2019-03-20,Shanuzi
20190321,3002,PW,924.93,847.93,77.0,231.78,207.2294,24.5506,2019-03-21,Palmawasi
20190321,3006,NH,228.435,49.4,179.035,57.06,9.41771,47.64229,2019-03-21,Nuevo Horizonte
20190321,3702,SH,884.4,877.4,7.0,219.608,217.17488,2.43312,2019-03-21,Shanuzi
20190322,3002,PW,1085.47,958.22,127.25,273.97,244.95055,29.01945,2019-03-22,Palmawasi
20190322,3006,NH,175.15,38.95,136.2,40.89,6.74886,34.14114,2019-03-22,Nuevo Horizonte
20190322,3702,SH,604.8,591.55,13.25,145.874,144.25781,1.61619,2019-03-22,Shanuzi
20190323,3002,PW,889.34,754.62,134.72,223.0,199.37939,23.62061,2019-03-23,Palmawasi
20190323,3006,NH,168.04,39.5,128.54,43.11,7.11527,35.99473,2019-03-23,Nuevo Horizonte
20190323,3702,SH,1076.7,1070.59,6.11,260.715,257.82644,2.88856,2019-03-23,Shanuzi
20190324,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-24,Palmawasi
20190324,3702,SH,819.25,819.25,0.0,197.365,195.17832,2.18668,2019-03-24,Shanuzi
20190325,3002,PW,769.25,708.51,60.74,193.48,172.98621,20.49379,2019-03-25,Palmawasi
