FECHA,PLANTACION,VERDES,MADUROS,SMADUROS,PEDUNCULO,ESCOBAJO,MALFORMADOA,MALFORMADOB,Peso,Racimos
2022-03-03,Shanuzi,,,,,,,,790316.2212,54227.0
2022-03-04,Nuevo Horizonte,,,,,,,,14748.37762,911.0
2022-03-04,Palmawasi,42.0,3281.0,181.0,0.0,0.0,73.0,19.0,783094.30171,37263.0
2022-03-04,Shanuzi,,,,,,,,285374.82243,19283.0
2022-03-05,Nuevo Horizonte,,,,,,,,12821.86063,792.0
2022-03-05,Palmawasi,53.0,2893.0,119.0,0.0,0.0,67.0,31.0,535139.18985,26930.0
2022-03-05,Shanuzi,,,,,,,,2906.08245,225.0
2022-03-07,Nuevo Horizonte,,,,,,,,15754.97548,1088.0
2022-03-07,Palmawasi,32.0,2044.0,147.0,2.0,0.0,85.0,20.0,458103.08726,22363.0
2022-03-08,Nuevo Horizonte,,,,,,,,25790.08396,1781.0
2022-03-08,Palmawasi,55.0,2766.0,146.0,1.0,0.0,106.0,34.0,714656.92244,33468.0
2022-03-09,Nuevo Horizonte,,,,,,,,24313.05501,1679.0
2022-03-09,Palmawasi,69.0,3294.0,244.0,3.0,0.0,82.0,26.0,752536.16812,34197.0
2022-03-09,Shanuzi,,,,,,,,551599.43187,35693.0
2022-03-10,Nuevo Horizonte,,,,,,,,19893.65616,1316.0
2022-03-10,Palmawasi,130.0,2800.0,150.0,0.0,0.0,66.0,15.0,659192.95525,30750.0
2022-03-10,Shanuzi,,,,,,,,629851.21957,42116.0
2022-03-11,Nuevo Horizonte,,,,,,,,19192.23828,1273.0
2022-03-11,Palmawasi,52.0,2488.0,170.0,0.0,0.0,71.0,3.0,578084.93233,26880.0
2022-03-11,Shanuzi,,,,,,,,810749.69032,55274.0
2022-03-12,Nuevo Horizonte,,,,,,,,18144.80852,1187.0
2022-03-12,Palmawasi,40.0,2425.0,126.0,0.0,0.0,65.0,18.0,573001.30405,26318.0
2022-03-12,Shanuzi,,,,,,,,831699.88674,59829.0
2022-03-14,Nuevo Horizonte,,,,,,,,18977.05348,1246.0
2022-03-14,Palmawasi,28.0,1697.0,65.0,1.0,0.0,39.0,8.0,488082.0689,23359.0
2022-03-14,Shanuzi,,,,,,,,626585.73731,45827.0
2022-03-15,Nuevo Horizonte,,,,,,,,25495.65612,1674.0
2022-03-15,Palmawasi,31.0,3258.0,276.0,4.0,0.0,115.0,35.0,755871.75933,36304.0
2022-03-15,Shanuzi,,,,,,,,894029.9818800001,63197.0
2022-03-16,Nuevo Horizonte,,,,,,,,15450.75703,1016.0
